accuracy,racers_num,wpm,time,game_num,points
0.99,5,129.97,2021-12-03T21:00:25Z,8207,103.98
0.99,5,154.53,2021-12-03T20:59:53Z,8206,157.1
0.99,5,129.8,2021-12-03T20:59:14Z,8205,162.25
0.96,5,116.6,2021-12-03T20:58:20Z,8204,79.68
0.97,4,120.99,2021-12-03T20:57:05Z,8203,125.02
0.97,5,116.7,2021-12-03T20:56:12Z,8202,58.35
1,5,132.92,2021-12-03T16:03:09Z,8201,68.67
0.98,5,117.29,2021-12-03T16:02:17Z,8200,74.28
0.97,5,130.35,2021-12-03T16:01:01Z,8199,134.69
0.99,5,142.45,2021-12-03T16:00:14Z,8198,144.82
0.98,5,132.41,2021-12-03T15:59:09Z,8197,150.07
0.99,5,144.24,2021-12-03T15:58:22Z,8196,204.35
0.98,5,151.88,2021-12-03T15:57:28Z,8195,159.48
0.99,5,151.29,2021-12-03T15:56:42Z,8194,151.29
0.96,5,122.52,2021-12-03T15:56:03Z,8193,67.39
0.97,5,130.18,2021-12-03T15:55:32Z,8192,106.31
0.99,3,135.23,2021-12-03T15:54:56Z,8191,110.44
0.98,4,134.72,2021-12-03T15:54:22Z,8190,87.57
0.99,5,139.38,2021-12-03T15:53:51Z,8189,120.79
0.97,5,127.64,2021-12-03T15:53:18Z,8188,163.81
0.97,5,130.98,2021-12-03T15:52:26Z,8187,117.88
0.97,5,117.08,2021-12-03T15:51:50Z,8186,132.69
0.98,3,128.84,2021-12-03T03:14:57Z,8185,146.01
0.99,3,134.46,2021-12-03T03:12:41Z,8184,82.91
0.98,4,135.39,2021-12-03T03:11:56Z,8183,162.46
0.98,5,126.71,2021-12-02T15:28:01Z,8182,156.27
0.98,4,139.31,2021-12-02T15:27:05Z,8181,239.14
0.98,4,145.35,2021-12-02T15:26:01Z,8180,92.06
0.97,5,124.5,2021-12-02T15:25:29Z,8179,76.78
0.98,4,146.04,2021-12-02T15:24:30Z,8178,138.73
0.97,5,127.3,2021-12-02T15:23:53Z,8177,76.38
0.97,4,123.26,2021-12-02T15:22:58Z,8176,125.32
0.98,5,137.77,2021-12-02T15:21:39Z,8175,101.03
0.98,5,132.11,2021-12-02T15:21:05Z,8174,77.07
0.98,5,122.77,2021-12-02T15:20:08Z,8173,55.25
0.97,5,127.57,2021-12-02T15:19:41Z,8172,182.85
0.97,5,131.86,2021-12-02T15:18:52Z,8171,72.52
0.99,5,151.44,2021-12-02T15:18:16Z,8170,186.77
0.99,4,135.31,2021-12-02T15:17:34Z,8169,112.76
0.97,5,117.15,2021-12-02T04:52:41Z,8168,83.96
1,5,145.65,2021-12-02T04:51:59Z,8167,67.97
0.99,4,134.57,2021-12-01T20:01:32Z,8166,204.1
0.97,5,114.22,2021-12-01T20:00:03Z,8165,114.22
0.98,4,136.21,2021-12-01T19:59:15Z,8164,138.48
0.97,5,121.08,2021-12-01T19:57:44Z,8163,96.86
0.97,5,119.55,2021-12-01T19:56:09Z,8162,65.75
0.99,5,139.56,2021-12-01T19:55:39Z,8161,176.78
0.98,5,143.78,2021-12-01T19:54:52Z,8160,148.57
0.99,5,138.52,2021-12-01T19:54:14Z,8159,120.05
0.99,5,139.34,2021-12-01T19:53:40Z,8158,78.96
0.99,4,130.49,2021-12-01T19:53:13Z,8157,84.82
0.98,5,131.26,2021-12-01T19:51:56Z,8156,126.88
0.98,5,135.77,2021-12-01T19:51:08Z,8155,135.77
0.98,5,132.83,2021-12-01T19:50:28Z,8154,130.61
0.98,5,123.74,2021-12-01T19:49:51Z,8153,113.43
0.98,4,115.08,2021-12-01T05:33:28Z,8152,55.62
0.97,3,134.78,2021-12-01T05:32:57Z,8151,105.58
0.98,5,116.68,2021-12-01T05:32:24Z,8150,106.96
0.99,5,134.41,2021-12-01T05:31:37Z,8149,134.41
0.98,4,132.91,2021-12-01T05:30:24Z,8148,64.24
