accuracy,racers_num,wpm,time,game_num,points
0.97,5,85.35,2021-08-04T14:37:18Z,2645,61.17
0.97,5,71.52,2021-08-04T14:29:50Z,2644,73.9
0.95,5,75.35,2021-08-04T14:19:41Z,2643,38.93
0.97,4,72.15,2021-08-04T14:17:39Z,2642,66.14
0.94,5,71.47,2021-08-04T14:16:39Z,2641,57.17
0.95,5,64.31,2021-08-04T14:15:37Z,2640,40.73
0.96,5,67.84,2021-08-04T14:14:47Z,2639,49.75
0.97,5,74.8,2021-08-04T14:13:45Z,2638,47.37
0.98,5,77.59,2021-08-04T12:38:06Z,2637,46.56
0.98,5,87.3,2021-08-04T12:37:20Z,2636,58.2
0.95,5,68.67,2021-08-04T12:18:42Z,2635,37.77
0.97,5,77.01,2021-08-04T12:17:56Z,2634,51.34
0.99,5,79.47,2021-08-04T12:17:07Z,2633,59.6
0.96,5,73.24,2021-08-04T12:16:21Z,2632,68.36
0.96,5,73.43,2021-08-04T12:11:24Z,2631,75.87
0.97,5,76.92,2021-08-04T12:10:18Z,2630,85.89
0.96,5,68.21,2021-08-03T19:43:45Z,2629,51.16
0.97,5,70.11,2021-08-03T19:42:43Z,2628,31.55
0.96,5,66.36,2021-08-03T14:28:19Z,2627,51.98
0.94,4,57.66,2021-08-01T16:48:50Z,2626,43.24
0.96,5,68.14,2021-08-01T16:46:41Z,2625,53.38
0.96,5,73.38,2021-08-01T16:05:16Z,2624,89.28
0.97,5,82.91,2021-08-01T16:03:45Z,2623,66.33
0.94,5,53.99,2021-07-31T17:18:53Z,2622,37.79
0.98,5,73.93,2021-07-31T17:17:43Z,2621,35.73
0.97,5,75.63,2021-07-31T17:02:58Z,2620,123.54
0.97,5,78.87,2021-07-31T16:28:09Z,2619,99.9
0.97,4,62.63,2021-07-29T23:21:19Z,2618,51.15
0.95,5,55,2021-07-29T15:33:25Z,2617,43.08
0.98,5,68.3,2021-07-29T15:26:40Z,2616,47.81
0.98,5,79.93,2021-07-29T15:25:07Z,2615,35.97
0.96,5,78.1,2021-07-29T14:08:07Z,2614,95.02
0.94,5,61.69,2021-07-29T12:45:25Z,2613,84.31
0.97,5,76.3,2021-07-29T12:41:09Z,2612,67.4
0.96,4,66.73,2021-07-28T20:17:52Z,2611,55.61
0.98,5,81.02,2021-07-27T17:34:12Z,2610,44.56
0.95,5,61.08,2021-07-27T17:16:53Z,2609,67.19
0.96,5,62.89,2021-07-23T17:27:07Z,2608,75.47
0.96,5,69.03,2021-07-23T17:09:50Z,2607,71.33
0.94,5,62.87,2021-07-22T13:19:30Z,2606,52.39
0.96,5,77.82,2021-07-22T13:18:11Z,2605,49.29
0.96,5,70.68,2021-07-22T13:17:11Z,2604,50.65
0.98,5,84.98,2021-07-22T13:16:18Z,2603,48.16
0.95,5,56.64,2021-07-22T13:15:24Z,2602,44.37
0.95,5,56.99,2021-07-22T13:14:10Z,2601,27.55
0.95,5,70.66,2021-07-22T13:13:16Z,2600,36.51
0.96,4,69.53,2021-07-22T12:47:41Z,2599,59.1
0.95,5,66.33,2021-07-22T12:46:33Z,2598,42.01
0.96,5,73.6,2021-07-22T12:45:38Z,2597,144.75
0.97,5,73.14,2021-07-22T12:43:34Z,2596,37.79
0.96,5,65.36,2021-07-22T12:36:42Z,2595,68.63
0.96,5,71.64,2021-07-22T12:35:13Z,2594,34.63
0.96,5,73.13,2021-07-22T12:34:22Z,2593,74.35
0.94,5,59.57,2021-07-21T14:31:23Z,2592,42.69
0.96,5,62.94,2021-07-21T14:30:11Z,2591,27.27
0.93,5,60.42,2021-07-21T13:53:50Z,2590,51.36
0.96,5,69.62,2021-07-21T13:42:12Z,2589,33.65
0.97,5,72.28,2021-07-21T13:41:29Z,2588,34.94
0.95,5,67.13,2021-07-21T13:22:44Z,2587,48.11
0.96,5,77.24,2021-07-21T13:21:41Z,2586,66.94
0.97,5,80.61,2021-07-20T13:14:40Z,2585,90.02
0.97,5,72.35,2021-07-20T13:12:54Z,2584,44.62
0.95,5,67.18,2021-07-20T12:59:37Z,2583,66.06
0.96,5,79.78,2021-07-20T12:58:26Z,2582,101.05
