accuracy,racers_num,wpm,time,game_num,points
0.97,5,76.51,2020-08-20T18:46:17Z,2463,52.28
0.98,5,88.97,2020-08-20T18:44:32Z,2462,38.55
0.97,5,73.67,2020-08-20T18:43:39Z,2461,61.39
0.97,5,77.23,2020-08-20T18:42:44Z,2460,83.67
0.98,5,89.93,2020-08-20T18:41:28Z,2459,59.96
0.97,5,78.55,2020-08-20T18:40:03Z,2458,51.06
0.99,5,85.55,2020-08-20T18:39:06Z,2457,31.37
0.98,5,82.99,2020-08-20T18:38:34Z,2456,42.88
0.97,5,77.53,2020-08-20T18:37:57Z,2455,50.39
0.95,5,72.16,2020-08-20T18:37:11Z,2454,73.36
0.98,5,73.12,2020-08-20T18:36:06Z,2453,52.4
0.98,5,77.91,2020-08-20T18:31:45Z,2452,63.62
0.98,5,75.47,2020-08-20T18:30:29Z,2451,42.77
0.96,5,76.28,2020-08-20T18:29:44Z,2450,34.33
0.97,5,75.92,2020-08-20T18:25:53Z,2449,92.37
0.98,5,83.77,2020-08-20T18:24:18Z,2448,58.64
0.98,5,77.05,2020-08-20T18:23:24Z,2447,37.24
0.97,5,71.58,2020-08-20T18:22:10Z,2446,81.13
0.99,4,85.13,2020-08-20T18:20:21Z,2445,139.04
0.97,5,76.97,2020-08-20T18:18:59Z,2444,65.42
0.98,5,76.44,2020-08-20T18:17:54Z,2443,81.53
0.96,5,67.31,2020-08-20T17:07:11Z,2442,39.27
0.98,5,72.97,2020-08-20T17:06:28Z,2441,43.78
0.96,5,78.23,2020-08-20T17:04:51Z,2440,87.36
0.98,5,83.75,2020-08-20T17:03:22Z,2439,62.82
0.98,5,76.5,2020-08-20T17:01:36Z,2438,85.42
0.98,5,85.74,2020-08-20T16:58:27Z,2437,50.01
0.97,5,76.05,2020-08-20T16:56:51Z,2436,60.84
0.98,5,80.49,2020-08-20T16:55:57Z,2435,46.95
0.96,4,74.18,2020-08-20T16:46:29Z,2434,39.56
0.99,5,68.12,2020-08-20T11:58:42Z,2433,26.11
0.95,5,72.76,2020-08-20T11:17:51Z,2432,46.08
0.95,5,72.6,2020-08-20T11:16:36Z,2431,43.56
0.97,5,70.76,2020-08-20T11:15:13Z,2430,43.63
0.97,5,71.83,2020-08-20T11:14:18Z,2429,65.85
0.97,4,70.91,2020-08-20T11:12:36Z,2428,96.9
0.97,5,68.97,2020-08-20T11:10:57Z,2427,49.43
0.97,5,78.18,2020-08-19T18:08:55Z,2426,54.73
0.98,5,72.24,2020-08-19T18:06:46Z,2425,51.77
0.97,5,71.28,2020-08-19T14:47:03Z,2424,36.83
0.97,5,84.28,2020-08-16T11:56:07Z,2423,49.16
0.97,5,76.18,2020-08-16T11:54:21Z,2422,59.67
0.98,4,82.68,2020-08-16T11:52:46Z,2421,52.37
0.98,5,76.07,2020-08-16T11:51:50Z,2420,48.18
0.97,5,73.63,2020-08-16T11:51:11Z,2419,44.18
0.97,5,74.26,2020-08-16T11:46:58Z,2418,44.55
0.96,4,74.99,2020-08-16T11:46:13Z,2417,62.49
0.97,5,75.47,2020-08-16T11:44:59Z,2416,33.96
0.96,5,79.49,2020-08-16T11:40:22Z,2415,49.02
0.97,5,80.74,2020-08-15T18:49:54Z,2414,78.05
0.96,5,73.53,2020-08-15T18:45:53Z,2413,64.95
0.96,5,79.74,2020-08-15T18:44:58Z,2412,51.83
0.98,4,77.37,2020-08-15T18:42:11Z,2411,64.48
0.98,5,81.31,2020-08-15T18:40:54Z,2410,73.18
0.97,5,84.76,2020-08-15T18:39:34Z,2409,42.38
0.97,5,76.66,2020-08-15T18:37:22Z,2408,44.72
0.96,5,70.16,2020-08-15T18:36:13Z,2407,68.99
0.96,5,70.78,2020-08-15T18:35:11Z,2406,42.47
0.97,5,80.34,2020-08-15T18:34:12Z,2405,85.69
0.96,5,79.46,2020-08-15T18:32:51Z,2404,55.62
0.97,5,68.8,2020-08-15T18:29:13Z,2403,33.25
0.97,5,80.52,2020-08-14T22:43:25Z,2402,81.86
0.97,5,74.04,2020-08-14T22:42:19Z,2401,51.82
0.98,5,80.44,2020-08-14T22:40:39Z,2400,41.56
0.97,4,72.07,2020-08-14T22:40:03Z,2399,56.45
0.98,5,82.31,2020-08-14T22:39:07Z,2398,68.59
0.98,5,80.85,2020-08-14T22:37:51Z,2397,59.29
0.97,4,72.55,2020-08-14T22:37:02Z,2396,99.15
0.98,3,72.12,2020-08-14T22:35:28Z,2395,51.68
0.98,5,85.28,2020-08-14T22:34:15Z,2394,63.96
0.95,5,68.87,2020-08-14T22:33:30Z,2393,41.32
0.96,5,69.69,2020-08-14T22:31:46Z,2392,76.66
0.98,3,76.01,2020-08-14T22:30:04Z,2391,120.34
0.96,5,72.86,2020-08-14T22:28:36Z,2390,109.28
0.98,5,83.64,2020-08-14T22:26:12Z,2389,76.67
0.98,5,82.42,2020-08-14T22:25:13Z,2388,61.82
0.97,5,73.64,2020-08-14T22:23:06Z,2387,50.32
0.98,5,82.02,2020-08-14T22:20:13Z,2386,61.52
0.96,5,75.63,2020-08-14T16:29:17Z,2385,80.68
0.97,5,74.52,2020-08-14T16:24:46Z,2384,104.33
0.99,5,83.32,2020-08-14T15:27:20Z,2383,51.38
0.96,5,69.8,2020-08-14T15:24:42Z,2382,104.7
0.95,5,73.24,2020-08-14T15:15:38Z,2381,62.26
0.95,5,76.52,2020-08-14T15:14:34Z,2380,53.57
0.96,5,74.8,2020-08-14T15:13:44Z,2379,52.36
0.97,5,82.59,2020-08-14T15:12:16Z,2378,75.7
0.97,5,84.12,2020-08-14T15:11:26Z,2377,67.29
0.96,5,81.96,2020-08-14T15:10:27Z,2376,47.81
0.95,5,75.36,2020-08-14T15:09:14Z,2375,30.14
0.97,3,75.19,2020-08-14T15:08:39Z,2374,75.19
0.96,5,80.96,2020-08-14T15:07:34Z,2373,43.18
0.97,5,88.19,2020-08-14T15:06:37Z,2372,44.09
0.98,4,82.81,2020-08-14T15:05:16Z,2371,85.57
0.98,5,90.71,2020-08-14T15:04:03Z,2370,54.42
0.99,5,81.78,2020-08-14T15:03:11Z,2369,35.44
0.96,5,74.44,2020-08-14T15:02:40Z,2368,66.99
0.97,5,73.65,2020-08-14T15:01:36Z,2367,57.69
0.96,4,72.26,2020-08-14T15:00:39Z,2366,63.83
0.98,5,78.96,2020-08-14T14:59:29Z,2365,39.48
0.96,5,74.6,2020-08-14T14:58:49Z,2364,50.97
0.97,5,73.88,2020-08-14T14:58:00Z,2363,19.7
0.97,5,81.71,2020-08-14T14:57:33Z,2362,73.54
0.97,5,78.71,2020-08-14T14:56:26Z,2361,45.91
0.97,5,79.98,2020-08-14T14:55:00Z,2360,53.32
0.97,5,78.24,2020-08-14T14:54:10Z,2359,65.2
0.96,5,65.33,2020-08-14T14:53:01Z,2358,55.53
0.94,5,62.52,2020-08-14T14:51:51Z,2357,26.05
0.94,5,75.91,2020-08-14T14:51:10Z,2356,72.12
0.94,5,77.12,2020-08-14T14:14:12Z,2355,26.99
0.97,5,72.15,2020-08-14T14:12:18Z,2354,115.44
0.97,5,74.65,2020-08-14T14:10:42Z,2353,85.85
0.97,5,73.83,2020-08-14T14:07:52Z,2352,34.45
0.97,5,75.44,2020-08-14T14:06:21Z,2351,72.92
0.95,5,70.92,2020-08-14T14:03:54Z,2350,56.74
0.98,5,81.11,2020-08-14T14:02:52Z,2349,50.02
0.95,5,63.74,2020-08-14T14:02:10Z,2348,38.24
0.96,5,70.49,2020-08-14T14:01:17Z,2347,49.35
0.96,5,71.63,2020-08-14T14:00:09Z,2346,111.03
0.97,5,72.67,2020-08-14T13:56:56Z,2345,56.92
0.96,5,76.49,2020-08-14T13:55:29Z,2344,71.39
0.95,5,68.45,2020-08-14T13:54:25Z,2343,52.48
0.96,4,71.11,2020-08-14T13:53:34Z,2342,55.7
0.97,3,73.19,2020-08-14T13:51:04Z,2341,59.77
0.96,5,72.1,2020-08-14T13:49:05Z,2340,40.86
0.97,3,70.2,2020-08-14T13:45:36Z,2339,65.52
0.95,5,72.41,2020-08-14T13:44:23Z,2338,66.38
0.96,5,69.65,2020-08-14T13:43:18Z,2337,55.72
0.97,5,77.25,2020-08-14T13:42:21Z,2336,72.1
0.95,5,77.38,2020-08-14T13:41:15Z,2335,64.48
0.97,5,77.17,2020-08-14T13:40:21Z,2334,56.59
0.96,5,68.81,2020-08-14T13:39:33Z,2333,59.63
0.98,5,80.56,2020-08-14T13:38:27Z,2332,42.97
0.98,5,75.16,2020-08-14T13:33:23Z,2331,41.34
0.98,5,87.09,2020-08-14T13:31:32Z,2330,42.09
0.97,5,71.12,2020-08-14T13:30:52Z,2329,53.34
0.95,5,70.45,2020-08-14T13:29:56Z,2328,51.66
0.98,5,79.15,2020-08-14T13:27:59Z,2327,44.85
0.98,5,88.36,2020-08-14T13:27:10Z,2326,69.21
0.96,5,77.15,2020-08-14T13:24:30Z,2325,66.86
0.96,5,77.23,2020-08-14T13:23:27Z,2324,55.35
0.96,5,69.91,2020-08-14T13:22:35Z,2323,80.4
0.96,5,68.02,2020-08-14T13:21:27Z,2322,124.71
0.98,4,80.17,2020-08-14T13:17:59Z,2321,64.13
0.96,5,74.27,2020-08-14T13:17:00Z,2320,71.79
0.95,5,74.31,2020-08-14T13:15:54Z,2319,70.6
0.97,5,70.18,2020-08-14T13:14:47Z,2318,69.01
0.98,4,82.6,2020-08-14T13:11:45Z,2317,99.12
1,5,83.74,2020-08-14T13:10:05Z,2316,15.35
0.97,5,76.53,2020-06-05T15:40:24Z,2315,68.88
0.96,3,67.39,2020-06-05T15:39:12Z,2314,75.25
0.97,3,70.88,2020-06-05T15:37:36Z,2313,88.6
0.99,5,85.23,2020-06-05T15:36:08Z,2312,59.66
0.97,5,74.05,2020-06-05T15:35:26Z,2311,75.29
0.97,5,71.31,2020-06-05T15:32:53Z,2310,58.24
0.96,5,66.11,2019-11-29T18:59:29Z,2309,28.65
0.98,5,79.15,2019-11-29T18:58:50Z,2308,42.21
0.95,5,67.46,2019-11-29T18:58:08Z,2307,56.21
0.95,4,66.14,2019-11-29T18:57:01Z,2306,99.21
0.97,4,80.59,2019-11-29T18:55:18Z,2305,51.04
0.95,5,67.28,2019-11-29T18:51:34Z,2304,100.93
0.98,3,78.64,2019-11-29T18:49:50Z,2303,77.33
0.95,3,65.81,2019-11-29T18:48:52Z,2302,58.13
0.96,5,74.63,2019-11-29T18:47:51Z,2301,94.53
0.98,5,78.26,2019-11-29T18:46:33Z,2300,49.56
0.95,5,69.46,2019-11-29T18:44:42Z,2299,49.78
0.98,5,78.37,2019-11-29T18:43:30Z,2298,113.63
0.97,5,81.76,2019-11-29T18:40:04Z,2297,49.06
0.95,5,72.01,2019-11-29T18:39:22Z,2296,54.01
0.95,5,67.35,2019-11-29T18:38:26Z,2295,47.14
0.96,5,72.3,2019-11-29T18:36:41Z,2294,73.5
0.97,5,71.04,2019-11-29T18:35:33Z,2293,116.02
0.99,5,76.86,2019-11-29T18:33:40Z,2292,47.4
0.98,5,75.28,2019-11-29T18:33:00Z,2291,48.93
0.94,5,56.4,2019-11-29T18:32:20Z,2290,28.2
0.99,5,76.17,2019-09-24T10:52:11Z,2289,87.6
0.97,5,68.32,2019-09-24T10:06:52Z,2288,62.62
0.96,5,71.35,2019-09-24T09:43:55Z,2287,44
0.97,5,77.95,2019-09-23T16:22:20Z,2286,58.46
0.96,4,65.28,2019-09-20T14:56:15Z,2285,81.6
0.97,4,68.76,2019-09-18T11:24:43Z,2284,46.99
0.96,4,70.65,2019-09-18T11:23:57Z,2283,64.76
0.96,5,68.07,2019-09-18T11:22:10Z,2282,35.17
0.95,5,58.93,2019-09-18T11:21:20Z,2281,39.29
0.97,5,77.81,2019-09-17T16:23:50Z,2280,35.01
0.98,5,68.7,2019-09-17T15:59:16Z,2279,49.24
0.96,5,61.44,2019-09-17T15:58:16Z,2278,53.25
0.96,5,68.65,2019-09-17T15:57:06Z,2277,49.2
0.97,5,71.19,2019-09-17T15:55:45Z,2276,117.46
0.99,5,76.41,2019-09-17T15:52:51Z,2275,48.39
0.95,4,60.1,2019-09-17T15:21:39Z,2274,50.08
0.97,5,66.85,2019-09-17T11:26:45Z,2273,70.19
0.97,5,65.95,2019-09-17T11:25:22Z,2272,65.95
0.99,5,81.86,2019-09-17T11:22:31Z,2271,39.57
0.97,5,67.69,2019-09-17T11:20:37Z,2270,81.23
0.98,5,78.55,2019-09-17T11:19:08Z,2269,51.06
0.96,5,68.89,2019-09-17T11:18:18Z,2268,43.63
0.97,5,69,2019-09-17T10:28:40Z,2267,43.7
0.95,4,67.77,2019-09-17T10:27:11Z,2266,58.73
0.98,5,72.79,2019-09-17T10:25:02Z,2265,78.85
0.97,4,71.45,2019-09-17T10:23:52Z,2264,92.88
0.98,5,70.55,2019-09-17T10:22:12Z,2263,49.39
0.98,4,77.41,2019-09-17T10:21:04Z,2262,49.03
0.97,5,69.16,2019-09-17T10:20:02Z,2261,57.63
0.95,5,64.47,2019-09-17T10:19:05Z,2260,37.61
0.97,5,76.73,2019-09-17T10:18:13Z,2259,48.6
0.97,5,76.37,2019-09-16T12:08:00Z,2258,43.28
0.98,5,75.98,2019-09-16T11:42:43Z,2257,70.92
0.97,5,66.84,2019-09-16T11:41:45Z,2256,35.65
0.98,5,82.87,2019-09-16T11:40:57Z,2255,66.3
0.96,5,64.8,2019-09-16T11:38:59Z,2254,45.36
0.97,4,71.71,2019-09-16T11:37:51Z,2253,72.9
0.97,5,73.96,2019-09-16T11:36:35Z,2252,69.03
0.98,5,75.51,2019-09-16T11:34:42Z,2251,40.27
0.97,4,69.47,2019-09-16T11:34:01Z,2250,45.16
0.98,5,76.36,2019-09-16T11:31:50Z,2249,80.18
0.97,5,72.12,2019-09-16T11:30:40Z,2248,54.09
0.96,5,65.52,2019-09-16T11:29:12Z,2247,28.39
0.96,5,70.48,2019-09-16T11:28:29Z,2246,39.94
0.95,5,63.14,2019-09-16T11:27:40Z,2245,51.56
0.97,5,69.82,2019-09-16T11:26:34Z,2244,69.82
0.99,4,78.45,2019-09-16T11:24:42Z,2243,27.46
0.96,5,61.16,2019-08-12T17:12:27Z,2242,54.02
0.99,5,76.3,2019-08-12T17:11:13Z,2241,75.03
0.95,5,66.31,2019-08-09T09:03:02Z,2240,58.57
0.96,5,70.21,2019-08-09T09:01:41Z,2239,63.19
0.96,5,67.69,2019-08-09T09:00:39Z,2238,83.48
0.94,5,71.87,2019-08-09T08:59:13Z,2237,43.12
0.96,4,67.45,2019-08-02T16:53:46Z,2236,74.2
0.97,5,76.56,2019-08-02T16:52:20Z,2235,81.66
0.95,5,64.01,2019-08-02T16:48:22Z,2234,74.67
0.95,5,77.36,2019-08-02T16:45:52Z,2233,51.57
0.97,4,72.55,2019-08-02T16:45:08Z,2232,38.69
0.95,5,69.37,2019-08-02T16:44:26Z,2231,63.59
0.96,5,72.09,2019-08-02T16:42:08Z,2230,52.87
0.94,5,66.97,2019-08-02T16:41:15Z,2229,41.3
0.97,5,81.56,2019-08-02T16:40:17Z,2228,61.17
0.97,4,77.94,2019-08-02T16:37:42Z,2227,76.64
0.96,4,66.94,2019-08-02T16:36:47Z,2226,42.4
0.96,5,80.32,2019-08-02T16:35:54Z,2225,45.51
0.95,5,62.7,2019-08-02T16:35:05Z,2224,41.8
0.97,4,68.35,2019-08-02T16:34:07Z,2223,36.45
0.96,4,70.96,2019-08-02T16:33:26Z,2222,62.68
0.96,4,63.14,2019-08-02T16:31:52Z,2221,53.67
0.96,5,69.53,2019-08-02T16:29:58Z,2220,81.11
0.97,5,70.27,2019-08-02T16:28:02Z,2219,52.71
0.95,4,65.36,2019-08-02T16:27:06Z,2218,26.14
0.96,5,81.52,2019-08-02T16:26:21Z,2217,50.27
0.96,4,67.02,2019-08-02T16:25:44Z,2216,45.8
0.95,5,68.6,2019-08-02T16:24:39Z,2215,60.6
0.97,5,75.76,2019-08-02T16:23:36Z,2214,42.93
0.96,5,72.03,2019-08-02T16:22:51Z,2213,61.22
0.97,4,78.81,2019-08-02T16:20:59Z,2212,68.3
0.96,5,72.42,2019-08-02T16:19:37Z,2211,56.73
0.96,4,65.84,2019-08-02T16:18:39Z,2210,94.37
0.96,4,70.03,2019-08-02T16:16:36Z,2209,84.03
0.97,5,71.48,2019-08-02T16:15:10Z,2208,36.93
0.96,4,71.11,2019-08-02T16:14:17Z,2207,84.14
0.96,4,68.63,2019-08-02T16:12:57Z,2206,75.49
0.96,5,64.2,2019-08-02T16:11:15Z,2205,46.01
0.94,5,60.52,2019-08-02T16:10:11Z,2204,70.61
0.96,5,67.93,2019-08-02T16:07:28Z,2203,49.81
0.95,5,70.19,2019-08-02T16:04:18Z,2202,49.13
0.95,5,71.92,2019-08-02T16:03:23Z,2201,49.14
0.97,5,76.08,2019-08-02T16:01:17Z,2200,31.7
0.98,2,85.44,2019-08-02T15:51:28Z,2199,59.81
0.96,4,64.38,2019-08-02T15:50:42Z,2198,71.9
0.95,5,70.84,2019-08-02T15:49:32Z,2197,33.06
0.97,5,65.17,2019-08-02T15:48:32Z,2196,52.14
0.98,5,79.81,2019-08-02T15:47:23Z,2195,57.2
0.98,4,79.87,2019-08-02T15:46:17Z,2194,53.25
0.93,5,60.15,2019-08-02T15:45:31Z,2193,42.1
0.96,5,75.29,2019-08-02T15:44:23Z,2192,43.92
0.96,5,73.03,2019-08-02T15:42:27Z,2191,149.72
0.97,4,70.25,2019-08-02T15:40:31Z,2190,30.44
0.96,5,67.57,2019-08-02T15:39:26Z,2189,40.54
0.95,5,68.2,2019-08-02T15:38:03Z,2188,39.78
0.99,5,84.31,2019-08-02T15:36:17Z,2187,49.18
0.94,5,62.87,2019-08-02T15:35:30Z,2186,30.39
0.97,5,72,2019-08-02T15:33:02Z,2185,61.2
0.98,5,79.81,2019-07-29T20:30:56Z,2184,34.58
0.98,4,80.64,2019-07-29T20:30:21Z,2183,45.7
0.98,5,70.16,2019-07-29T20:29:30Z,2182,93.55
0.98,5,70.41,2019-07-29T20:27:43Z,2181,55.15
0.98,5,62.2,2019-07-29T20:26:34Z,2180,42.5
0.97,5,73.56,2019-07-29T20:24:02Z,2179,82.14
0.98,5,72.86,2019-07-29T20:22:47Z,2178,40.07
0.96,5,67.55,2019-07-29T20:22:01Z,2177,39.4
0.96,5,70.83,2019-07-29T20:21:17Z,2176,34.23
0.97,5,70.4,2019-07-29T20:19:36Z,2175,42.24
0.96,5,69.55,2019-07-29T20:18:38Z,2174,105.48
0.96,3,68,2019-07-29T20:16:19Z,2173,43.07
0.96,4,68.98,2019-07-29T20:14:54Z,2172,71.28
0.96,5,73.58,2019-07-29T20:13:07Z,2171,55.19
0.98,5,75.58,2019-07-29T20:12:08Z,2170,84.4
0.97,5,72.13,2019-07-29T20:10:56Z,2169,37.27
0.97,5,74.13,2019-07-29T20:09:55Z,2168,76.6
0.99,5,71.71,2019-07-29T20:08:49Z,2167,45.42
0.97,5,70.66,2019-07-29T20:07:55Z,2166,55.35
0.96,4,63.51,2019-07-29T20:07:01Z,2165,25.4
0.97,5,67.55,2019-07-29T20:05:56Z,2164,55.17
0.98,5,75.6,2019-07-29T20:04:53Z,2163,51.66
0.97,5,67.94,2019-07-29T20:03:55Z,2162,84.93
0.97,5,71.65,2019-07-27T08:57:33Z,2161,74.04
0.96,5,64.12,2019-07-22T17:08:04Z,2160,38.47
0.96,5,65.61,2019-07-22T17:07:08Z,2159,85.29
0.98,3,77.21,2019-07-22T17:05:21Z,2158,54.05
0.95,4,41.65,2019-07-22T17:04:18Z,2157,28.46
0.96,5,68.78,2019-07-22T17:03:10Z,2156,34.39
0.97,4,72.67,2019-07-22T17:02:28Z,2155,46.02
0.98,5,71.38,2019-07-22T17:01:36Z,2154,58.3
0.97,5,67.58,2019-07-22T17:00:34Z,2153,47.31
0.97,4,70.63,2019-07-22T16:59:27Z,2152,70.63
0.98,5,76.79,2019-07-22T16:58:08Z,2151,40.96
0.96,5,68.59,2019-07-22T16:56:20Z,2150,80.02
0.95,5,62.9,2019-07-22T16:54:23Z,2149,57.66
0.97,5,75.88,2019-07-22T16:53:14Z,2148,37.94
0.96,4,60.53,2019-07-22T16:52:29Z,2147,71.63
0.96,5,67.07,2019-07-22T16:50:58Z,2146,68.19
0.96,5,59.9,2019-07-22T16:49:34Z,2145,30.95
0.96,5,60.3,2019-07-22T16:48:45Z,2144,62.31
0.98,4,69.72,2019-07-22T16:47:07Z,2143,58.1
0.98,5,72.42,2019-07-22T16:46:01Z,2142,80.87
0.98,5,79.91,2019-02-03T20:41:32Z,2141,71.92
0.96,5,75.83,2019-02-03T20:39:57Z,2140,56.87
0.96,5,64.84,2019-02-03T20:39:09Z,2139,57.28
0.97,4,74.32,2019-02-03T20:37:46Z,2138,74.32
0.97,5,71.74,2019-02-03T20:36:10Z,2137,57.39
0.97,5,76.99,2019-02-03T20:35:16Z,2136,92.39
0.96,5,80.43,2019-02-03T20:34:10Z,2135,33.51
0.95,5,67.91,2019-02-03T20:29:23Z,2134,74.7
0.96,5,66.95,2019-02-03T20:28:06Z,2133,43.52
0.98,5,76.64,2019-02-03T20:27:03Z,2132,100.91
0.97,5,77.77,2019-02-03T20:23:47Z,2131,90.74
0.96,5,62.95,2019-02-03T20:22:36Z,2130,49.31
0.97,4,67.04,2019-02-03T20:19:31Z,2129,49.16
0.96,4,65.35,2019-02-03T20:18:23Z,2128,34.86
0.93,5,55.48,2019-02-03T20:17:37Z,2127,18.49
0.98,5,79.92,2019-02-03T20:16:39Z,2126,43.96
0.94,4,61.07,2019-02-03T20:14:32Z,2125,67.18
0.96,5,67.05,2019-02-03T20:12:45Z,2124,90.52
0.97,5,66.05,2019-02-03T20:11:20Z,2123,39.63
0.96,5,64.34,2019-02-03T20:10:23Z,2122,55.76
0.96,4,62,2019-02-03T20:09:04Z,2121,74.4
0.96,5,68.88,2018-11-05T22:09:02Z,2120,34.44
0.96,5,68.68,2018-11-05T22:08:16Z,2119,41.21
0.96,5,70.41,2018-11-05T22:07:27Z,2118,41.07
0.97,5,70.2,2018-11-05T22:05:13Z,2117,36.27
0.96,5,65.57,2018-11-05T22:04:33Z,2116,36.06
0.96,3,70.12,2018-11-05T22:03:43Z,2115,72.46
0.95,5,65.33,2018-11-05T21:59:58Z,2114,43.55
