accuracy,wpm,game_num,time,racers_num,points
0.98,107.23,2464,2021-08-30T14:14:18Z,5,80.42
0.99,112.84,2463,2021-08-30T14:13:36Z,5,58.3
0.98,109.54,2462,2021-08-30T01:53:06Z,3,173.44
0.99,101.01,2461,2021-08-29T22:34:12Z,5,126.26
0.98,113.29,2460,2021-08-29T15:41:56Z,4,126.5
0.98,105.32,2459,2021-08-29T15:37:32Z,4,115.86
0.96,94.03,2458,2021-08-29T15:36:05Z,5,67.39
0.97,110.61,2457,2021-08-29T15:35:26Z,5,27.65
0.99,116.18,2456,2021-08-29T15:34:13Z,4,112.31
0.98,108.88,2455,2021-08-29T15:33:29Z,4,157.88
0.98,108.91,2454,2021-08-29T15:32:27Z,5,54.45
0.97,108.19,2453,2021-08-28T20:30:48Z,5,106.38
1,122.67,2452,2021-08-28T20:29:57Z,4,96.1
0.99,121.66,2451,2021-08-28T20:29:18Z,5,68.94
0.99,115.21,2450,2021-08-28T20:28:46Z,5,76.81
0.99,126.23,2449,2021-08-15T04:02:26Z,5,115.71
1,133.17,2448,2021-08-15T04:01:53Z,5,77.68
0.98,105.24,2447,2021-08-15T04:01:21Z,2,75.42
0.99,111.77,2446,2021-08-14T21:06:16Z,5,70.79
0.98,97.63,2445,2021-08-14T16:59:45Z,5,48.82
0.97,101.32,2444,2021-08-14T16:59:12Z,5,70.92
0.99,121.23,2443,2021-08-12T18:49:27Z,5,74.76
0.98,118.02,2442,2021-08-12T18:10:26Z,3,145.55
0.98,106.89,2441,2021-08-12T18:09:20Z,4,163.9
0.98,114.95,2440,2021-08-12T18:03:53Z,5,86.21
0.99,117.49,2439,2021-08-12T18:03:13Z,5,82.24
0.98,118.93,2438,2021-08-12T17:59:17Z,5,97.12
0.99,106.79,2437,2021-08-12T17:56:30Z,5,106.79
0.98,113.58,2436,2021-08-12T03:22:24Z,5,85.19
0.98,114.11,2435,2021-08-12T02:52:24Z,5,91.28
0.98,111.36,2434,2021-08-12T02:49:51Z,5,79.81
0.97,107.6,2433,2021-08-12T02:49:13Z,4,57.39
1,125.05,2432,2021-08-11T21:16:00Z,5,125.05
0.98,120.9,2431,2021-08-11T20:41:45Z,5,88.66
0.99,122.95,2430,2021-08-11T20:08:32Z,4,127.05
0.99,122.29,2429,2021-08-11T20:02:32Z,5,150.83
0.98,97.6,2428,2021-08-10T19:32:31Z,5,52.06
0.98,112.16,2427,2021-08-10T18:30:17Z,5,56.08
0.99,104.26,2426,2021-08-10T18:29:00Z,5,99.05
0.98,118.71,2425,2021-08-10T18:28:09Z,4,96.95
0.97,101.54,2424,2021-08-10T18:27:27Z,5,130.3
1,133.56,2423,2021-08-10T18:25:39Z,5,69
1,129.03,2422,2021-08-10T18:25:11Z,5,98.92
0.99,107.21,2421,2021-08-10T18:24:35Z,5,64.33
0.99,116.49,2420,2021-08-10T18:23:10Z,5,99.01
0.98,98.61,2419,2021-08-10T18:18:35Z,5,202.15
0.98,113.54,2418,2021-08-10T18:16:56Z,5,77.58
0.99,106.49,2417,2021-08-10T18:16:18Z,5,53.25
0.99,114.81,2416,2021-08-08T03:56:26Z,5,84.2
0.97,100.13,2415,2021-08-08T03:55:43Z,5,78.43
0.99,104.42,2414,2021-08-08T03:55:12Z,5,48.73
0.99,126.12,2413,2021-08-08T03:53:15Z,5,134.53
0.99,119.45,2412,2021-08-08T03:51:55Z,5,77.64
0.98,107.1,2411,2021-08-08T03:51:02Z,5,117.81
0.99,115.8,2410,2021-08-08T03:50:10Z,2,125.45
0.99,125.23,2409,2021-08-08T03:41:11Z,4,68.88
0.97,95.28,2408,2021-08-08T03:40:41Z,5,53.99
0.99,113.93,2407,2021-08-08T03:03:16Z,3,125.32
0.99,117.93,2406,2021-08-07T02:51:32Z,5,208.34
0.99,107.11,2405,2021-08-07T01:52:28Z,5,69.62
0.97,100.62,2404,2021-08-07T01:51:53Z,3,55.34
0.96,89.31,2403,2021-08-07T01:51:16Z,5,46.15
0.98,105.08,2402,2021-08-07T01:49:57Z,5,106.83
0.98,118.86,2401,2021-08-07T01:49:02Z,5,146.59
0.99,104.92,2400,2021-08-07T01:47:53Z,5,38.47
0.98,101.39,2399,2021-08-06T17:37:43Z,5,96.32
0.98,109.58,2398,2021-08-06T17:36:07Z,5,71.23
0.97,102.16,2397,2021-08-06T17:35:33Z,4,64.7
0.97,97.72,2396,2021-08-06T17:33:18Z,4,66.77
0.99,112.77,2395,2021-08-05T20:40:54Z,5,92.1
0.98,105.57,2394,2021-08-05T20:36:45Z,5,82.7
0.99,140.44,2393,2021-08-05T20:29:54Z,4,102.99
0.97,110.99,2392,2021-08-05T20:28:25Z,5,83.24
0.99,106.72,2391,2021-08-05T20:27:52Z,5,104.94
0.98,107.67,2390,2021-08-05T20:27:01Z,5,82.54
0.97,106.44,2389,2021-08-05T20:26:19Z,5,88.7
0.98,111.17,2388,2021-08-05T20:25:39Z,5,98.2
0.98,119.11,2387,2021-08-05T20:24:56Z,5,103.23
0.98,111.76,2386,2021-08-05T20:24:15Z,4,111.76
0.98,109.96,2385,2021-08-05T20:21:54Z,5,62.31
0.98,111.98,2384,2021-08-05T20:20:51Z,5,235.16
0.98,105.72,2383,2021-08-05T20:11:31Z,5,102.2
0.99,106.08,2382,2021-08-05T20:07:51Z,5,100.78
0.98,103.92,2381,2021-08-05T01:22:14Z,4,81.4
0.97,95.1,2380,2021-08-05T01:21:36Z,5,77.66
0.97,98.27,2379,2021-08-05T01:20:18Z,4,68.79
0.97,102.29,2378,2021-08-05T01:19:00Z,5,71.61
0.98,108.19,2377,2021-08-05T01:18:25Z,5,59.5
0.98,109.51,2376,2021-08-05T01:17:51Z,3,173.4
0.98,113.51,2375,2021-08-04T16:57:42Z,5,104.05
0.98,116.91,2374,2021-08-04T16:57:00Z,5,64.3
0.98,109.8,2373,2021-08-04T16:56:31Z,5,67.71
0.98,109.56,2372,2021-08-04T16:55:57Z,4,102.26
0.99,118.55,2371,2021-08-04T16:55:13Z,4,90.89
0.97,102.76,2370,2021-08-04T16:54:37Z,4,78.78
0.97,103.24,2369,2021-08-04T16:54:00Z,5,86.04
0.97,112.15,2368,2021-08-04T16:52:48Z,5,145.8
0.98,113.36,2367,2021-08-04T16:51:48Z,5,77.46
0.99,130.41,2366,2021-08-04T16:50:56Z,5,189.1
0.97,119.44,2365,2021-08-04T16:49:29Z,5,71.66
0.98,99.68,2364,2021-08-04T16:48:15Z,5,117.95
0.97,115.28,2363,2021-08-04T16:46:22Z,5,55.72
0.98,107.22,2362,2021-08-04T16:45:56Z,4,80.41
0.95,89.69,2361,2021-08-04T16:44:59Z,3,47.83
0.98,99.79,2360,2021-08-04T16:44:24Z,5,143.03
0.98,111.84,2359,2021-08-04T16:42:59Z,5,76.42
0.99,114.81,2358,2021-08-04T16:37:29Z,5,86.11
0.98,112.62,2357,2021-08-04T16:35:28Z,5,106.99
0.97,99.57,2356,2021-08-04T16:34:46Z,5,56.43
0.99,126.4,2355,2021-08-04T16:34:13Z,5,84.27
0.98,115.81,2354,2021-08-03T22:36:27Z,4,127.39
0.97,106.94,2353,2021-08-03T22:35:40Z,4,62.38
0.97,101.69,2352,2021-08-03T22:34:20Z,5,261
0.98,117.73,2351,2021-08-03T22:32:31Z,2,92.22
0.97,103.91,2350,2021-08-03T22:31:46Z,5,93.52
0.97,106.32,2349,2021-08-03T22:31:08Z,5,207.32
0.98,113.23,2348,2021-08-03T22:29:11Z,4,224.58
0.99,127.38,2347,2021-08-03T22:26:46Z,5,65.81
0.98,110.7,2346,2021-08-03T22:25:35Z,5,129.15
0.97,110.9,2345,2021-08-03T22:24:16Z,5,96.11
0.99,131.59,2344,2021-08-03T22:23:34Z,5,131.59
0.98,113.45,2343,2021-08-03T22:22:36Z,3,96.44
0.98,108.95,2342,2021-08-03T18:52:15Z,5,63.56
0.99,122.27,2341,2021-08-03T18:51:48Z,5,97.82
0.98,108.24,2340,2021-08-03T18:51:11Z,5,193.02
0.97,107.54,2339,2021-08-03T18:44:32Z,5,114.71
0.99,108.51,2338,2021-08-03T18:43:44Z,5,79.58
0.99,121.31,2337,2021-08-03T02:12:16Z,5,117.27
0.97,99.26,2336,2021-08-03T01:07:08Z,5,66.18
0.96,97.48,2335,2021-08-03T01:06:23Z,5,99.11
0.97,106.06,2334,2021-08-03T01:05:28Z,5,88.38
0.97,107.79,2333,2021-08-03T01:04:48Z,4,88.03
0.99,119.94,2332,2021-08-03T01:04:05Z,4,119.94
0.98,110.36,2331,2021-08-03T00:59:17Z,5,77.25
0.97,106.73,2330,2021-08-03T00:58:37Z,5,142.31
0.98,99.04,2329,2021-08-03T00:56:57Z,5,75.93
0.99,114.75,2328,2021-08-03T00:56:07Z,5,101.37
0.97,104.26,2327,2021-08-02T20:44:43Z,5,59.08
0.98,113.04,2326,2021-08-02T20:44:05Z,5,73.48
0.97,114.69,2325,2021-08-02T20:43:35Z,5,59.26
0.97,101.64,2324,2021-08-02T20:43:04Z,5,69.46
0.97,106.42,2323,2021-08-02T20:42:27Z,4,74.49
0.97,102.95,2322,2021-08-02T20:41:49Z,3,126.97
0.98,111.93,2321,2021-08-02T20:39:48Z,5,102.6
0.97,107.87,2320,2021-08-02T20:38:00Z,5,64.72
0.97,101.17,2319,2021-08-02T20:37:28Z,5,59.01
1,112.56,2318,2021-08-02T20:36:58Z,4,86.3
0.98,114.07,2317,2021-08-02T20:36:20Z,2,129.28
0.99,126.02,2316,2021-08-02T20:34:08Z,5,50.41
0.98,98.08,2315,2021-08-02T20:33:48Z,5,63.76
0.99,123.32,2314,2021-08-02T20:31:12Z,4,55.49
0.96,91.7,2313,2021-08-02T19:54:16Z,5,35.15
0.97,96.49,2312,2021-08-02T18:37:10Z,4,138.31
0.98,113.21,2311,2021-08-02T18:36:04Z,5,79.25
0.97,104.37,2310,2021-08-02T18:35:28Z,5,71.32
0.98,110.13,2309,2021-08-02T18:34:52Z,5,71.59
0.98,118.16,2308,2021-08-02T18:34:16Z,5,110.29
0.99,123.69,2307,2021-08-02T18:33:30Z,5,88.65
1,128.32,2306,2021-08-02T18:32:57Z,5,89.82
0.98,105.71,2305,2021-08-01T18:13:08Z,5,118.04
0.97,105,2304,2021-08-01T18:12:15Z,5,91
0.98,111.57,2303,2021-08-01T18:03:36Z,5,63.22
0.98,111.16,2302,2021-08-01T18:01:37Z,5,118.57
0.98,101.66,2301,2021-08-01T18:00:46Z,5,103.35
0.98,106.89,2300,2021-08-01T17:59:21Z,5,156.77
0.99,115.78,2299,2021-08-01T17:29:56Z,4,104.2
0.97,104.7,2298,2021-08-01T17:28:46Z,3,87.25
0.98,109.64,2297,2021-08-01T17:28:03Z,5,120.6
0.98,108.17,2296,2021-08-01T17:26:29Z,4,99.15
0.99,131.32,2295,2021-08-01T17:25:43Z,5,63.47
0.98,102.87,2294,2021-08-01T16:49:10Z,3,164.59
0.97,100.8,2293,2021-08-01T16:47:29Z,3,68.88
0.98,103.53,2292,2021-08-01T16:46:49Z,5,88
0.98,113.72,2291,2021-08-01T16:45:57Z,5,132.68
0.96,94.08,2290,2021-08-01T16:45:07Z,5,58.02
0.98,103.05,2289,2021-08-01T16:42:51Z,5,137.4
0.99,106.17,2288,2021-08-01T16:41:54Z,4,61.93
0.98,106.95,2287,2021-08-01T16:41:27Z,4,89.13
0.98,102.5,2286,2021-08-01T16:39:19Z,4,99.09
0.98,112.91,2285,2021-08-01T16:14:22Z,5,220.18
1,122.04,2284,2021-08-01T16:13:12Z,5,75.26
0.97,92.73,2283,2021-08-01T16:12:42Z,4,47.91
0.99,113.21,2282,2021-07-31T18:01:01Z,4,84.91
0.98,108.56,2281,2021-07-31T18:00:23Z,4,75.99
0.97,93.64,2280,2021-07-28T18:13:55Z,5,71.79
0.97,102.62,2279,2021-07-28T15:59:38Z,5,88.94
0.98,115.63,2278,2021-07-28T15:58:44Z,5,67.45
0.99,96.21,2277,2021-07-28T15:58:08Z,5,46.5
0.99,117.55,2276,2021-07-28T15:57:18Z,4,96
0.98,113.27,2275,2021-07-28T15:56:38Z,5,94.39
0.97,109.81,2274,2021-07-27T16:35:26Z,5,95.17
0.98,114.51,2273,2021-07-27T16:33:21Z,5,112.6
0.97,98.88,2272,2021-07-26T05:08:17Z,2,107.12
0.99,120.52,2271,2021-07-26T05:07:11Z,5,122.53
0.98,119.77,2270,2021-07-26T05:04:17Z,5,93.82
0.96,121.33,2269,2021-07-26T05:02:53Z,5,90.99
0.99,114.42,2268,2021-07-26T05:00:05Z,4,64.84
0.97,97.86,2267,2021-07-26T04:59:30Z,5,61.98
0.98,120.38,2266,2021-07-26T04:58:30Z,3,138.43
0.98,109.94,2265,2021-07-26T04:57:43Z,5,67.8
0.97,102.23,2264,2021-07-25T22:38:23Z,5,85.19
0.97,100.87,2263,2021-07-25T22:12:47Z,5,79.01
0.98,101.95,2262,2021-07-25T22:12:01Z,5,59.47
0.98,115.16,2261,2021-07-25T22:11:25Z,4,86.37
0.98,117.09,2260,2021-07-25T22:10:50Z,5,64.4
0.97,98.74,2259,2021-07-25T22:10:24Z,3,148.12
0.98,118.39,2258,2021-07-25T22:09:17Z,5,149.97
0.96,106.66,2257,2021-07-25T22:08:18Z,3,21.33
0.99,107.39,2256,2021-07-25T22:07:58Z,5,62.65
0.99,104.78,2255,2021-07-25T22:06:57Z,5,104.78
0.97,103.06,2254,2021-07-25T22:06:10Z,4,97.9
0.99,108.51,2253,2021-07-25T22:05:26Z,5,90.42
0.98,102.46,2252,2021-07-25T22:04:46Z,5,93.92
0.96,90.24,2251,2021-07-25T22:03:58Z,4,81.22
0.97,105.74,2250,2021-07-25T22:02:59Z,5,54.63
0.98,115.55,2249,2021-07-25T22:02:26Z,4,125.18
0.98,114.02,2248,2021-07-25T22:01:23Z,5,89.31
0.98,106.67,2247,2021-07-25T22:00:02Z,5,94.22
0.98,104.29,2246,2021-07-25T21:59:23Z,5,88.65
0.98,108.56,2245,2021-07-25T21:58:43Z,5,137.51
0.96,92.2,2244,2021-07-25T21:57:46Z,5,67.61
0.99,113.99,2243,2021-07-25T21:57:10Z,5,129.19
0.96,93.65,2242,2021-07-25T21:56:25Z,5,96.77
0.97,108.13,2241,2021-07-25T21:55:06Z,5,68.48
0.98,101.66,2240,2021-07-25T17:44:17Z,5,167.74
0.97,93.59,2239,2021-07-25T17:43:06Z,4,77.99
0.96,106,2238,2021-07-25T17:42:21Z,5,98.93
0.98,96.03,2237,2021-07-25T17:38:21Z,5,54.42
0.97,98.63,2236,2021-07-25T17:25:17Z,5,64.11
0.99,117.45,2235,2021-07-25T17:24:43Z,5,111.58
0.99,121.76,2234,2021-07-25T17:24:04Z,5,99.44
0.99,119.3,2233,2021-07-25T17:23:23Z,4,77.54
0.97,102.49,2232,2021-07-25T17:22:28Z,5,49.54
0.99,114.89,2231,2021-07-25T17:21:47Z,5,139.79
0.99,122.28,2230,2021-07-25T17:20:54Z,5,61.14
0.98,111.23,2229,2021-07-23T01:05:21Z,2,127.91
0.98,113.95,2228,2021-07-23T01:04:26Z,5,182.32
0.98,112.31,2227,2021-07-23T01:02:58Z,5,82.36
0.98,100.71,2226,2021-07-23T01:02:18Z,5,88.96
0.99,123.15,2225,2021-07-23T01:01:40Z,5,114.94
0.98,112.71,2224,2021-07-23T00:59:46Z,5,80.78
0.97,90.91,2223,2021-07-23T00:59:05Z,5,48.48
0.98,114.62,2222,2021-07-23T00:58:26Z,5,112.71
0.99,121.24,2221,2021-07-23T00:56:25Z,4,177.82
0.97,98.94,2220,2021-07-23T00:50:57Z,5,54.41
0.98,104.21,2219,2021-07-23T00:50:25Z,4,92.05
0.97,111.36,2218,2021-07-22T21:01:00Z,5,124.35
0.99,114.75,2217,2021-07-22T20:57:42Z,5,110.93
0.97,111.53,2216,2021-07-22T20:56:51Z,3,135.69
0.99,109.02,2215,2021-07-22T20:55:21Z,5,61.78
0.98,104.71,2214,2021-07-22T20:54:44Z,5,87.26
0.97,102.38,2213,2021-07-22T20:53:57Z,5,61.43
0.98,109.47,2212,2021-07-22T20:52:54Z,5,122.25
0.97,105.91,2211,2021-07-22T20:49:31Z,5,135.92
0.99,132.87,2210,2021-07-22T20:48:09Z,4,46.5
0.98,98.99,2209,2021-07-22T20:47:47Z,5,66
0.99,119.49,2208,2021-07-22T20:46:19Z,5,97.58
0.98,105.23,2207,2021-07-22T20:45:38Z,4,91.2
0.97,105.85,2206,2021-07-22T20:42:28Z,5,58.22
0.98,107.54,2205,2021-07-22T20:41:31Z,4,86.03
0.99,112.32,2204,2021-07-22T20:40:48Z,3,87.99
0.98,110.98,2203,2021-07-22T17:57:31Z,2,151.67
0.98,111.69,2202,2021-07-22T17:30:32Z,4,111.69
0.98,122.64,2201,2021-07-22T17:27:57Z,4,79.71
0.97,104.34,2200,2021-07-22T17:27:25Z,4,69.56
0.98,111.92,2199,2021-07-22T17:26:56Z,5,111.92
1,129.24,2198,2021-07-22T17:26:15Z,5,101.24
0.98,105.88,2197,2021-07-22T17:25:42Z,5,95.29
0.97,86.46,2196,2021-07-22T17:24:55Z,5,44.67
1,129.47,2195,2021-07-22T17:24:16Z,4,90.63
0.99,122.55,2194,2021-07-22T17:22:58Z,5,75.57
0.98,115.05,2193,2021-07-22T17:22:27Z,5,155.32
0.97,100.62,2192,2021-07-22T17:16:30Z,5,80.49
0.99,111.54,2191,2021-07-22T17:14:31Z,5,96.66
0.99,117.89,2190,2021-07-22T17:13:38Z,5,62.87
0.97,101.6,2189,2021-07-22T02:31:12Z,5,94.83
0.99,119.76,2188,2021-07-22T02:26:45Z,5,57.88
0.97,107.07,2187,2021-07-22T01:54:52Z,3,53.53
0.97,116.21,2186,2021-07-22T01:24:08Z,5,106.53
0.98,103.45,2185,2021-07-22T01:23:33Z,4,63.8
0.99,120.43,2184,2021-07-22T01:22:59Z,4,106.38
0.99,110.66,2183,2021-07-21T04:11:04Z,5,55.33
0.98,115.48,2182,2021-07-21T04:04:13Z,4,103.93
0.97,104.57,2181,2021-07-21T03:58:20Z,3,115.03
0.98,118.64,2180,2021-07-21T03:57:19Z,5,177.96
0.99,115.22,2179,2021-07-21T03:54:25Z,5,92.18
0.98,112.78,2178,2021-07-21T03:53:49Z,5,92.1
0.98,111.55,2177,2021-07-21T03:52:08Z,5,145.02
0.96,98.26,2176,2021-07-21T03:48:44Z,5,76.97
0.98,112.09,2175,2021-07-21T03:46:21Z,3,80.33
0.98,114,2174,2021-07-21T03:44:30Z,5,81.7
0.98,115.08,2173,2021-07-21T02:48:10Z,5,90.15
0.97,114.08,2172,2021-07-21T02:44:45Z,5,57.04
0.99,121.54,2171,2021-07-21T02:43:13Z,3,158
0.98,113.94,2170,2021-07-21T02:40:52Z,5,96.85
0.99,123.15,2169,2021-07-21T02:40:14Z,3,125.21
0.98,113.21,2168,2021-07-21T02:39:31Z,4,186.8
0.99,115.74,2167,2021-07-21T02:37:53Z,3,69.45
0.97,108.05,2166,2021-07-21T02:36:51Z,5,86.44
0.98,118.46,2165,2021-07-21T02:35:21Z,4,94.77
0.99,127.1,2164,2021-07-21T02:34:46Z,4,190.65
0.97,100.44,2163,2021-07-21T02:31:57Z,5,82.02
0.98,119.11,2162,2021-07-21T02:31:19Z,5,115.14
0.98,117.67,2161,2021-07-21T02:30:34Z,5,68.64
0.97,105.86,2160,2021-07-21T02:27:47Z,5,107.62
0.97,100.27,2159,2021-07-21T02:26:57Z,5,53.48
0.99,124.65,2158,2021-07-21T02:26:19Z,5,83.1
0.97,102.11,2157,2021-07-19T19:04:04Z,3,51.05
0.97,103.74,2156,2021-07-19T19:03:33Z,4,57.06
0.98,119.64,2155,2021-07-19T19:02:23Z,5,39.88
0.98,126.35,2154,2021-07-19T18:58:56Z,5,164.26
0.98,125.98,2153,2021-07-19T18:57:28Z,5,94.49
0.99,122.85,2152,2021-07-19T18:55:59Z,5,65.52
0.99,132.86,2151,2021-07-19T18:55:27Z,5,84.14
0.98,105.73,2150,2021-07-19T18:22:13Z,5,82.82
0.98,109.75,2149,2021-07-19T18:20:58Z,5,142.67
0.97,105.4,2148,2021-07-19T18:19:59Z,5,65
0.98,122.49,2147,2021-07-19T18:19:10Z,5,149.03
0.97,102.18,2146,2021-07-19T18:18:22Z,5,85.15
0.98,113.36,2145,2021-07-19T18:17:14Z,4,183.26
0.98,107.58,2144,2021-07-19T18:15:46Z,5,111.16
0.99,108.06,2143,2021-07-19T18:14:57Z,5,144.08
0.97,98.57,2142,2021-07-19T04:05:21Z,5,87.07
0.98,105.99,2141,2021-07-19T04:04:36Z,5,74.19
0.98,107.49,2140,2021-07-19T04:03:54Z,3,96.74
0.98,100.43,2139,2021-07-19T04:02:13Z,3,60.26
0.98,112.01,2138,2021-07-19T04:01:33Z,5,119.48
0.98,105.97,2137,2021-07-19T04:00:02Z,5,72.41
0.98,106.29,2136,2021-07-19T03:00:06Z,5,47.83
0.98,108.46,2135,2021-07-19T02:59:38Z,5,121.12
0.99,110.57,2134,2021-07-19T02:57:13Z,5,70.03
0.97,102.05,2133,2021-07-19T02:56:39Z,5,88.44
0.97,105.16,2132,2021-07-19T02:52:37Z,3,68.35
1,125.22,2131,2021-07-19T02:51:49Z,5,110.61
0.99,111.18,2130,2021-07-19T02:41:39Z,5,79.68
0.97,101.78,2129,2021-07-18T18:15:15Z,5,66.15
0.99,122.5,2128,2021-07-18T18:14:36Z,4,124.54
0.98,109.47,2127,2021-07-18T18:13:47Z,5,213.48
0.97,98.8,2126,2021-07-18T18:12:05Z,4,158.08
0.98,107.47,2125,2021-07-18T18:10:55Z,3,137.92
0.99,103.25,2124,2021-07-18T18:09:54Z,5,67.11
0.97,99.87,2123,2021-07-18T18:08:29Z,3,71.57
0.98,108.87,2122,2021-07-18T17:51:20Z,5,78.02
1,131.77,2121,2021-07-18T17:31:18Z,5,85.65
0.98,106.07,2120,2021-07-18T17:29:28Z,5,67.18
0.98,110.54,2119,2021-07-18T17:25:32Z,5,93.96
0.97,103.39,2118,2021-07-18T17:24:56Z,5,55.14
0.99,100.03,2117,2021-07-17T02:31:46Z,5,58.35
0.97,105.3,2116,2021-07-17T02:31:03Z,5,194.8
0.99,121.44,2115,2021-07-17T02:29:47Z,4,99.17
0.97,94.38,2114,2021-07-17T02:29:05Z,5,78.65
0.98,102.68,2113,2021-07-17T02:28:24Z,5,61.61
0.97,115.06,2112,2021-07-17T02:27:49Z,5,93.97
0.98,111.31,2111,2021-07-17T02:27:07Z,5,111.31
0.98,110.23,2110,2021-07-17T02:26:16Z,5,86.35
1,134.72,2109,2021-07-17T02:25:34Z,5,78.59
0.97,105.3,2108,2021-07-17T02:25:03Z,4,124.61
0.99,109.61,2107,2021-07-17T02:24:07Z,5,63.94
0.98,105.35,2106,2021-07-17T02:23:33Z,5,61.45
0.99,101.47,2105,2021-07-17T02:23:03Z,5,96.4
1,130.19,2104,2021-07-17T02:21:33Z,5,86.79
0.98,111.65,2103,2021-07-17T02:20:58Z,5,106.06
0.98,103.97,2102,2021-07-17T02:18:42Z,3,72.78
0.98,117.21,2101,2021-07-17T02:17:24Z,5,62.51
0.98,116.5,2100,2021-07-17T02:16:39Z,4,133.98
0.98,104.54,2099,2021-07-17T02:15:51Z,3,74.92
0.98,110.01,2098,2021-07-17T02:11:10Z,4,84.34
0.99,107.92,2097,2021-07-17T01:07:01Z,4,97.13
0.99,122.34,2096,2021-07-17T01:06:19Z,5,85.64
0.97,106.89,2095,2021-07-16T05:40:48Z,5,80.17
0.97,102.85,2094,2021-07-16T05:40:10Z,5,190.27
0.98,114.09,2093,2021-07-16T05:32:27Z,5,136.91
0.98,104.34,2092,2021-07-16T05:29:10Z,5,156.51
0.99,109.66,2091,2021-07-16T05:26:54Z,5,111.48
0.96,101.89,2090,2021-07-16T05:26:08Z,4,95.1
0.99,109.65,2089,2021-07-16T05:25:18Z,5,164.47
0.97,104.69,2088,2021-07-16T05:14:27Z,5,101.2
0.98,99.3,2087,2021-07-16T05:08:11Z,5,52.96
0.98,103.68,2086,2021-07-16T05:07:36Z,5,65.66
0.97,103.48,2085,2021-07-16T05:06:53Z,5,132.8
0.97,100.65,2084,2021-07-16T05:05:32Z,4,52
0.97,100.74,2083,2021-07-16T05:05:03Z,5,124.25
0.97,102.43,2082,2021-07-16T05:03:22Z,5,44.39
0.99,114.28,2081,2021-07-16T04:59:31Z,3,55.23
0.98,108.5,2080,2021-07-15T04:14:50Z,5,83.19
0.98,104.36,2079,2021-07-15T04:13:11Z,5,55.66
0.99,108.13,2078,2021-07-15T04:12:38Z,4,70.28
0.98,112.91,2077,2021-07-15T04:11:38Z,5,60.22
0.99,115.48,2076,2021-07-15T04:11:07Z,5,119.33
0.98,109.12,2075,2021-07-15T04:10:18Z,5,47.29
0.98,118.65,2074,2021-07-15T04:05:22Z,5,94.92
0.97,98.17,2073,2021-07-14T21:45:59Z,5,85.08
0.97,104.75,2072,2021-07-14T21:45:10Z,2,68.09
0.98,109.82,2071,2021-07-14T21:44:35Z,5,95.18
0.99,113.88,2070,2021-07-14T17:26:17Z,5,127.16
0.98,114.1,2069,2021-07-14T17:25:29Z,5,64.66
0.96,101.06,2068,2021-07-14T17:24:32Z,4,82.53
0.97,102.03,2067,2021-07-14T17:23:45Z,5,124.14
0.97,111.32,2066,2021-07-14T17:22:50Z,5,55.66
0.97,112.12,2065,2021-07-14T17:22:21Z,5,69.14
0.98,107,2064,2021-07-13T20:00:59Z,5,119.48
0.97,107.55,2063,2021-07-13T19:54:23Z,5,320.85
0.99,116.31,2062,2021-07-13T19:50:23Z,5,87.23
0.99,122.44,2061,2021-07-13T19:49:45Z,5,140.8
0.96,94.52,2060,2021-07-13T19:05:50Z,4,77.19
0.97,105.2,2059,2021-07-13T19:04:10Z,4,77.15
0.99,123.31,2058,2021-07-13T18:22:47Z,5,73.99
0.98,119.38,2057,2021-07-13T18:22:18Z,5,87.55
0.97,95.53,2056,2021-07-13T18:21:41Z,5,62.1
0.98,107.13,2055,2021-07-13T18:20:59Z,4,164.26
0.98,118.76,2054,2021-07-13T18:18:05Z,5,110.85
0.97,100.58,2053,2021-07-13T18:17:23Z,5,57
0.98,119.12,2052,2021-07-13T18:16:52Z,4,212.42
0.97,105.21,2051,2021-07-13T18:13:31Z,5,63.13
0.97,104.27,2050,2021-07-13T18:04:18Z,5,111.23
0.98,107.89,2049,2021-07-13T18:03:28Z,5,64.73
0.98,110.08,2048,2021-07-13T18:02:55Z,5,102.75
0.98,117.07,2047,2021-07-13T17:58:29Z,5,158.05
0.98,108.78,2046,2021-07-13T01:54:11Z,5,135.98
0.98,117.44,2045,2021-07-13T01:35:19Z,5,125.27
0.98,105.01,2044,2021-07-13T01:34:37Z,5,54.26
0.99,111.73,2043,2021-07-13T01:33:20Z,5,126.63
0.98,118.7,2042,2021-07-12T23:56:47Z,5,132.55
0.97,111.02,2041,2021-07-12T23:55:01Z,5,122.12
0.99,116.2,2040,2021-07-12T23:54:19Z,5,44.54
0.97,108.87,2039,2021-07-12T23:53:28Z,4,72.58
0.98,104.05,2038,2021-07-12T23:49:56Z,5,74.57
0.98,109.83,2037,2021-07-12T21:52:49Z,5,100.67
0.98,114.47,2036,2021-07-12T21:52:05Z,2,106.84
0.97,112,2035,2021-07-12T21:49:42Z,4,59.73
0.97,95.73,2034,2021-07-12T21:48:16Z,5,54.24
1,127.91,2033,2021-07-12T01:54:09Z,4,85.27
0.97,102.67,2032,2021-07-12T01:24:53Z,5,65.02
0.98,107.47,2031,2021-07-12T01:23:54Z,5,93.14
0.98,113.04,2030,2021-07-12T01:23:21Z,5,82.9
0.97,104.76,2029,2021-07-12T01:00:27Z,5,111.75
0.98,122.66,2028,2021-07-12T00:59:34Z,5,77.68
0.98,102.53,2027,2021-07-12T00:58:48Z,5,68.35
