accuracy,wpm,game_num,time,racers_num,points
0.97,108.91,2800,2021-10-18T21:14:40Z,5,112.54
0.98,116.82,2799,2021-10-18T21:13:18Z,3,159.66
0.97,107.46,2798,2021-10-18T21:12:26Z,4,62.68
0.99,122.83,2797,2021-10-18T21:11:51Z,5,102.36
0.99,125.53,2796,2021-10-18T21:10:51Z,5,81.59
0.98,119.71,2795,2021-10-18T21:10:18Z,5,107.74
0.98,107.4,2794,2021-10-18T01:05:20Z,5,220.17
0.99,126.49,2793,2021-10-18T01:03:55Z,5,128.6
0.98,120.13,2792,2021-10-18T01:03:14Z,5,82.09
0.98,120.32,2791,2021-10-18T01:02:36Z,4,84.22
0.99,118.88,2790,2021-10-18T01:01:59Z,3,59.44
0.97,101.88,2789,2021-10-18T01:01:32Z,5,93.39
0.99,112.87,2788,2021-10-18T01:00:27Z,5,88.41
0.96,108.4,2787,2021-10-18T00:59:45Z,5,84.91
0.97,111.79,2786,2021-10-18T00:58:31Z,5,122.96
0.97,109.35,2785,2021-10-18T00:57:44Z,4,176.79
0.97,103.57,2784,2021-10-18T00:56:43Z,2,98.39
0.98,121.38,2783,2021-10-18T00:55:57Z,4,86.99
0.98,106.4,2782,2021-10-18T00:55:20Z,5,136.55
0.97,104.26,2781,2021-10-18T00:54:17Z,3,78.19
0.98,114.21,2780,2021-10-18T00:53:37Z,5,87.56
0.99,123.05,2779,2021-10-18T00:52:55Z,3,82.03
0.99,124.08,2778,2021-10-18T00:52:25Z,5,204.73
0.99,162.17,2777,2021-10-18T00:51:15Z,5,105.41
0.98,118.34,2776,2021-10-18T00:49:50Z,5,102.56
0.98,119.86,2775,2021-10-18T00:49:10Z,5,127.85
0.98,112.36,2774,2021-10-18T00:48:21Z,5,80.52
0.99,118.65,2773,2021-10-18T00:47:41Z,5,104.8
0.97,84.48,2772,2021-10-17T21:41:08Z,4,40.83
0.99,123.76,2771,2021-10-17T21:40:34Z,5,86.63
0.98,118.86,2770,2021-10-17T21:40:02Z,3,146.59
0.99,120.48,2769,2021-10-17T21:39:14Z,4,134.53
0.98,103.36,2768,2021-10-17T21:38:27Z,5,80.96
0.97,105.17,2767,2021-10-17T21:37:43Z,5,70.12
0.97,113.5,2766,2021-10-17T21:37:01Z,5,143.76
0.98,130.8,2765,2021-10-17T21:36:05Z,5,91.56
0.99,119.44,2764,2021-10-17T21:35:32Z,5,115.46
0.98,115.35,2763,2021-10-17T21:34:50Z,5,76.9
0.98,116.65,2762,2021-10-17T21:34:19Z,3,101.1
0.99,113.71,2761,2021-10-17T21:33:44Z,4,72.02
0.98,111.11,2760,2021-10-17T21:31:49Z,5,70.37
0.98,110.79,2759,2021-10-17T21:31:18Z,5,84.94
0.98,102.24,2758,2021-10-17T21:29:37Z,5,149.95
0.98,110.8,2757,2021-10-17T21:26:41Z,5,86.79
0.97,95.37,2756,2021-10-17T21:25:18Z,4,76.3
0.97,97.28,2755,2021-10-17T21:06:01Z,4,66.47
0.98,103.6,2754,2021-10-17T20:50:57Z,3,91.51
0.99,115.13,2753,2021-10-17T20:50:07Z,4,117.05
0.98,101.1,2752,2021-10-17T20:49:18Z,4,65.72
0.99,116.62,2751,2021-10-17T20:48:35Z,4,139.94
0.97,115.36,2750,2021-10-17T20:46:44Z,5,65.37
0.99,127.17,2749,2021-10-17T20:46:11Z,2,142.01
0.98,111.65,2748,2021-10-17T20:45:27Z,3,100.49
0.98,103.3,2747,2021-10-17T20:44:51Z,5,137.73
0.99,115.72,2746,2021-10-17T20:43:50Z,5,96.43
0.99,126.94,2745,2021-10-17T20:43:15Z,5,67.7
0.99,123.49,2744,2021-10-17T20:42:45Z,5,76.15
0.99,120.71,2743,2021-10-17T20:42:12Z,5,92.55
0.99,124.95,2742,2021-10-17T20:41:43Z,5,93.71
0.97,104.91,2741,2021-10-17T20:41:07Z,5,90.93
0.98,110.32,2740,2021-10-17T20:40:23Z,5,77.23
0.99,119.34,2739,2021-10-17T20:39:54Z,5,83.54
0.99,125.06,2738,2021-10-17T20:39:17Z,5,100.05
0.99,125.23,2737,2021-10-17T20:38:37Z,5,114.79
0.98,113.02,2736,2021-10-17T20:37:33Z,4,82.88
0.99,110.78,2735,2021-10-17T20:36:44Z,4,84.93
0.99,119.43,2734,2021-10-17T20:36:04Z,3,69.67
0.98,96.31,2733,2021-10-16T18:41:55Z,5,56.18
0.96,103.39,2732,2021-10-16T18:40:56Z,5,105.11
0.97,104.83,2731,2021-10-16T18:39:43Z,3,68.14
0.98,113.43,2730,2021-10-16T18:39:01Z,5,75.62
0.96,108.84,2729,2021-10-16T18:37:58Z,5,76.19
0.98,114.32,2728,2021-10-16T18:36:49Z,5,100.98
0.96,103.28,2727,2021-10-16T18:35:44Z,5,60.25
0.98,116.29,2726,2021-10-16T18:35:18Z,5,71.71
0.98,126,2725,2021-10-16T18:34:47Z,5,100.8
0.99,128.56,2724,2021-10-16T18:32:01Z,4,100.7
1,124.62,2723,2021-10-16T18:31:21Z,5,124.62
0.99,119.32,2722,2021-10-15T22:58:26Z,4,69.6
0.98,106.7,2721,2021-10-15T22:46:50Z,5,92.47
0.97,107.29,2720,2021-10-14T22:09:36Z,5,85.83
0.98,105.96,2719,2021-10-14T22:08:44Z,4,100.66
0.98,111.77,2718,2021-10-14T22:07:53Z,5,236.59
0.98,105.06,2717,2021-10-13T23:00:43Z,5,140.08
0.99,121.14,2716,2021-10-13T22:59:04Z,5,84.8
0.98,114.67,2715,2021-10-13T22:58:16Z,4,80.27
0.97,115.73,2714,2021-10-13T22:57:47Z,3,98.37
0.99,113.93,2713,2021-10-13T22:56:41Z,5,98.74
0.96,111.62,2712,2021-10-13T22:55:57Z,5,93.02
0.96,109.57,2711,2021-10-13T22:55:18Z,5,104.09
0.98,123.87,2710,2021-10-13T22:54:23Z,5,88.77
0.97,113.47,2709,2021-10-13T22:53:26Z,5,96.45
1,125.63,2708,2021-10-13T22:52:42Z,4,77.47
0.98,110.69,2707,2021-10-13T22:52:16Z,5,92.24
0.98,108.5,2706,2021-10-11T23:47:41Z,5,92.23
0.99,119.19,2705,2021-10-11T23:45:11Z,5,101.31
1,133.69,2704,2021-10-11T23:16:32Z,5,89.13
0.98,99.08,2703,2021-10-11T20:35:15Z,5,113.95
0.98,111.55,2702,2021-10-11T20:23:11Z,4,135.72
0.99,119.8,2701,2021-10-11T20:21:46Z,5,93.85
0.99,124.55,2700,2021-10-11T20:21:04Z,4,103.79
0.99,122.02,2699,2021-10-11T20:20:25Z,3,122.02
0.97,104.34,2698,2021-10-06T01:36:23Z,4,55.65
0.99,129.39,2697,2021-10-05T22:30:45Z,5,71.17
1,119.09,2696,2021-10-05T22:28:04Z,5,77.41
0.97,99.09,2695,2021-10-05T22:25:41Z,4,61.11
0.99,127.73,2694,2021-10-05T22:25:06Z,5,123.47
0.99,114.76,2693,2021-10-05T22:24:25Z,5,99.46
0.98,113.27,2692,2021-10-05T22:23:47Z,5,84.95
0.99,125.87,2691,2021-10-03T21:33:49Z,5,138.46
0.96,102.27,2690,2021-10-03T21:32:59Z,5,93.75
0.99,121.05,2689,2021-10-03T21:31:21Z,5,76.66
0.99,121.54,2688,2021-10-03T21:30:48Z,5,54.69
0.99,129.24,2687,2021-10-01T23:13:59Z,5,142.16
0.98,124.8,2686,2021-10-01T22:45:14Z,5,139.36
0.98,112.11,2685,2021-10-01T20:59:53Z,5,142
0.98,114.56,2684,2021-10-01T20:58:58Z,5,101.19
0.98,119.53,2683,2021-10-01T20:57:49Z,5,87.66
0.99,129.02,2682,2021-10-01T20:57:11Z,5,77.41
0.98,103.21,2681,2021-09-30T22:39:53Z,5,73.97
0.98,120.38,2680,2021-09-30T22:39:03Z,5,62.2
0.99,108.93,2679,2021-09-30T22:38:09Z,5,103.48
0.96,100.36,2678,2021-09-30T22:37:29Z,5,70.25
0.99,122.19,2677,2021-09-30T22:35:50Z,5,69.24
0.97,98.51,2676,2021-09-30T22:34:43Z,5,110
0.98,119.93,2675,2021-09-30T22:33:26Z,4,167.9
0.96,98.03,2674,2021-09-30T22:32:31Z,5,80.06
0.98,116.13,2673,2021-09-30T22:29:31Z,5,75.48
0.99,114.4,2672,2021-09-30T22:28:52Z,5,38.13
0.98,142.79,2671,2021-09-30T22:28:13Z,5,49.98
0.98,122.12,2670,2021-09-30T22:27:14Z,4,97.69
0.98,110,2669,2021-09-30T21:23:23Z,4,89.83
0.99,117.08,2668,2021-09-30T21:22:38Z,5,107.32
0.99,119.22,2667,2021-09-29T00:32:20Z,5,168.9
0.98,99.57,2666,2021-09-28T22:20:09Z,5,66.38
0.99,111.58,2665,2021-09-28T22:19:32Z,4,72.53
0.98,106.44,2664,2021-09-28T21:59:47Z,5,156.12
0.99,117.56,2663,2021-09-28T21:57:57Z,5,121.48
0.98,115.07,2662,2021-09-28T21:57:13Z,5,67.12
0.99,117.09,2661,2021-09-28T21:56:40Z,4,42.93
0.98,105.89,2660,2021-09-27T22:59:08Z,4,93.53
